CHEM467,Methods in HIST
CHEM468,English I PHYS,MIS415
CHEM468,Topics in PHYS
CHEM469,Astrophysics ART,HIST327
CHEM470,Workshop in ART
CHEM470,Calculus I MIS
CHEM471,Biology STAT,MUS371
CHEM47140,English I SOC
CHEM472,Calculus I ART
CHEM475,Principles of ENG
CHEM475,Fundamentals of ART
CHEM475,Seminar on STAT,HIST404
CHEM477,Chemistry ECON
CHEM478,Thermodynamics MUS,HIST208
CHEM479,Social Development II BIO
CHEM479,Physics CS,MATH444
CHEM480,Research in PSY,ENG396
CHEM481,Lab in BIO
CHEM481,Statistics MUS
CHEM482,Social Development I ART
CHEM484,Topics in CHEM
CHEM484,Principles of BIO,STAT60354
CHEM486,Regression Analysis ENG
CHEM486,Artificial Intelligence MUS
CHEM487,Artificial Intelligence SOC,MIS528
CHEM488,Applications of ECON
CHEM488,Methods in BIO
CHEM490,Chemistry ECON
CHEM490,Applications of CHEM
CHEM491,Workshop in SOC
CHEM492,Topics in ART
CHEM493,Biology ART
CHEM493,Principles of MATH
CHEM493,Theory of PHYS
CHEM495,Research in PSY
CHEM495,Microbiology PHYS
CHEM496,Calculus I MATH,ECON264
CHEM49618,Principles of CHEM
CHEM497,Social Development II PHYS
CHEM497,Advanced MATH,STAT439
CHEM497,Calculus II ART
CHEM498,Machine Learning MIS
CHEM498,Astrophysics CS
CHEM498,Theory of CS
CHEM499,Statistics PHYS,MIS251
CHEM50003,Theory of PSY
CHEM501,Chemistry HIST,CS520
CHEM501,English I CHEM,BIO191
CHEM502,Physics MATH
CHEM502,Artificial Intelligence ART,ART326
CHEM504,Statistics ENG
CHEM505,English I ART
CHEM507,Biology ENG,SOC472
CHEM507,Biology BIO
CHEM507,Intro to CHEM
CHEM509,Machine Learning PHYS
CHEM509,Methods in SOC,MIS367
CHEM509,Social Development I CHEM,CHEM236
CHEM510,Microbiology CHEM
CHEM511,Microbiology MIS
CHEM511,Artificial Intelligence HIST
CHEM51169,Theory of MIS
CHEM512,Intro to MATH,STAT437
CHEM512,Chemistry PSY
CHEM513,Biology ECON,ENG468
CHEM513,Astrophysics ENG
CHEM513,Physics CS
CHEM514,Data Structures SOC
CHEM514,Microbiology HIST
CHEM515,Seminar on PHYS
CHEM515,Statistics CS,SOC190
CHEM51586,Theory of HIST
CHEM517,Microbiology PHYS,PSY459
CHEM517,Astrophysics ENG,MIS109
CHEM517,Physics ECON
CHEM518,Artificial Intelligence MATH,CS449
CHEM518,Regression Analysis CHEM,PHYS118
CHEM518,Advanced STAT
CHEM518,Artificial Intelligence ENG
CHEM518,Social Development II ECON,MATH259
CHEM518,English II CS,STAT397
CHEM519,Social Development II ART
CHEM521,Astrophysics MATH
CHEM522,Calculus II BIO
CHEM522,Calculus II CHEM
CHEM524,Fundamentals of ECON
CHEM525,English II CS,SOC438
CHEM525,Lab in ART
CHEM526,Social Development I BIO,CS411
CHEM526,Data Structures CS
CHEM526,Artificial Intelligence CS
CHEM52732,Principles of MATH,STAT449
CHEM530,Applications of PSY
CHEM53007,English II HIST
CHEM531,Artificial Intelligence HIST
CHEM533,Regression Analysis PSY
CHEM536,Astrophysics CHEM
CHEM536,Methods in MIS,ECON171
CHEM537,Social Development I ECON,PSY424
CHEM537,Principles of ECON
CHEM537,Lab in ECON
CHEM53721,Regression Analysis ECON
CHEM539,Astrophysics MUS,CS327
CHEM539,Seminar on ART
CHEM540,Data Structures SOC
CHEM542,Calculus II PSY
CHEM543,Workshop in HIST
CHEM544,Applications of MIS
CHEM54516,Cognitive Science BIO,BIO112
CHEM546,Physics ENG
CHEM546,Workshop in ART
CHEM54627,Physics STAT,BIO367
CHEM547,Data Structures STAT
CHEM548,Lab in BIO,SOC302
CHEM548,Fundamentals of MUS,PSY433
CHEM549,Principles of BIO
CHEM549,Social Development I MATH
CHEM549,Methods in MATH
CHEM550,Intro to HIST,ENG411
CHEM55139,Astrophysics PHYS
CHEM553,Chemistry ECON
CHEM554,Social Development I CS,CS457
CHEM554,Cognitive Science ART
CHEM554,Methods in ART
CHEM555,Calculus II ECON
CHEM556,Regression Analysis BIO
CHEM557,Advanced ART
CHEM559,Lab in MATH,STAT375
CHEM560,Machine Learning ENG
CHEM560,Social Development I ECON
CHEM561,Chemistry PHYS,HIST457
CHEM561,Topics in CHEM
CHEM562,Data Structures MIS
CHEM562,Regression Analysis PHYS
CHEM56265,Principles of ECON
CHEM563,Chemistry CS,MIS429
CHEM564,English I CS
CHEM566,Physics CHEM,PSY547
CHEM566,Calculus II HIST
CHEM566,Lab in MUS
CHEM566,English I ART,ART443
CHEM567,Astrophysics ENG
CHEM567,English II STAT
CHEM56798,Social Development II MUS
CHEM569,Topics in MIS
CHEM569,Seminar on CHEM
CHEM569,Calculus I PHYS
CHEM571,Workshop in PHYS
CHEM571,Astrophysics PHYS
CHEM572,Theory of SOC
CHEM572,Machine Learning PSY
CHEM574,Data Structures ENG
CHEM575,Social Development II PSY
CHEM575,Applications of SOC
CHEM575,Intro to ENG,STAT480
CHEM576,Research in HIST,SOC84713
CHEM577,Regression Analysis CS
CHEM580,Workshop in PHYS
CHEM581,Applications of ENG
CHEM582,Applications of CHEM,ECON367
CHEM583,Data Structures ENG
CHEM584,Methods in PSY,CS248
CHEM586,Microbiology MIS,ENG397
CHEM586,Intro to PHYS,ECON599
CHEM586,Theory of ART
CHEM587,English II ART
CHEM587,Artificial Intelligence CS
CHEM58716,Research in ENG
CHEM588,Applications of ECON
CHEM589,Calculus I MATH,HIST212
CHEM58931,Fundamentals of ECON
CHEM591,Astrophysics ECON
CHEM592,Applications of MIS
CHEM593,Theory of MUS
CHEM594,Calculus I MIS
CHEM596,Thermodynamics MIS
CHEM598,Chemistry PSY
CHEM599,Research in PHYS
CHEM599,Research in MIS,MIS15842
CHEM61228,Intro to BIO
CHEM64529,Seminar on STAT
CHEM65665,Social Development I ENG
CHEM67398,Topics in ECON,CHEM475
CHEM67959,Cognitive Science STAT
CHEM69909,Lab in CS
CHEM71613,Workshop in MATH
CHEM75579,Fundamentals of SOC
CHEM80256,Principles of CHEM
CHEM80761,Principles of ENG
CHEM83518,Data Structures ENG
CHEM85134,Social Development II STAT,BIO378
CHEM86206,Thermodynamics ENG,MIS248
CHEM87383,Social Development I SOC,ART372
CHEM87665,Thermodynamics ENG
CHEM87716,Cognitive Science PHYS
CHEM88928,English II ART,PSY554
CHEM89454,Lab in ECON
CHEM91471,Calculus I ART
CHEM91576,Microbiology ART,MIS421
CHEM92640,Lab in ENG,CHEM368
CHEM93284,English I ART,PSY456
CHEM96503,Seminar on PSY,ECON224
CHEM98528,Intro to STAT
CHEM98564,Workshop in ECON
CHEM98810,Thermodynamics CHEM
CHEM99841,Calculus I PHYS
CS101,Intro to MIS
CS101,Seminar on HIST
CS101,Data Structures MATH
CS102,Calculus I ART
CS102,Theory of BIO,ENG389
CS102,Cognitive Science PHYS,ECON456
CS102,Applications of CS,CS482
CS103,Research in HIST
CS105,Lab in ENG,MATH188
CS106,Theory of BIO,ART171
CS106,Statistics PSY
CS107,Machine Learning ART
CS109,Artificial Intelligence PSY,BIO359
CS109,Fundamentals of CS
CS110,Seminar on BIO,MIS578
CS111,Chemistry CS
CS111,Thermodynamics HIST,HIST95092
CS111,Thermodynamics STAT
CS112,Calculus I BIO,SOC201
CS112,Artificial Intelligence HIST,MATH416
CS112,Topics in MUS
CS116,Regression Analysis ART,BIO73088
CS117,Social Development II STAT
CS117,Chemistry PHYS,ECON20731
CS119,Regression Analysis CS,CHEM216
CS120,Biology SOC,CS193
CS120,Social Development II STAT
CS121,Intro to HIST
CS122,Statistics CS
CS122,Data Structures MIS
CS12212,Physics ENG,PSY520
CS123,Workshop in ECON
CS124,Regression Analysis MUS,STAT214
CS125,Social Development I ART
CS125,Applications of PSY
CS125,Microbiology CS
CS126,Chemistry ECON
CS126,Data Structures ART
CS126,Regression Analysis PSY
CS127,Advanced PHYS
CS127,Data Structures PHYS
CS128,Seminar on MIS
CS129,Applications of CHEM
CS129,Microbiology PSY
CS130,Calculus II BIO,ENG336
CS13072,Physics SOC
CS131,Calculus II MIS
CS132,Statistics BIO,MATH269
CS134,Methods in CS,CS500
CS136,Workshop in PHYS
CS136,Biology SOC
CS137,Thermodynamics CHEM
CS139,Topics in MUS
CS140,Theory of MIS,ENG338
CS141,Artificial Intelligence SOC
CS142,English II MIS
CS144,Thermodynamics HIST,MUS355
CS14572,Intro to CHEM
CS146,Fundamentals of ENG
CS14614,Seminar on CS
CS147,Cognitive Science PHYS
CS149,Theory of ART
CS149,Regression Analysis CHEM
CS14966,Research in PHYS
CS151,Data Structures MATH
CS152,Data Structures SOC
CS154,Cognitive Science ECON,ECON250
CS154,Calculus II ART
CS154,Research in ART
CS155,Theory of CHEM,PHYS241
CS155,English I HIST
CS155,Cognitive Science MATH
CS156,Thermodynamics MIS
CS157,Workshop in HIST,MIS554
CS157,Chemistry ENG,MUS139
CS158,Regression Analysis MIS,BIO475
CS158,Research in CS
CS159,Lab in HIST
CS159,Research in BIO
CS159,Theory of CS
CS160,Applications of SOC
CS161,Microbiology PHYS
CS161,English I CHEM
CS161,Intro to CS,SOC472
CS162,Calculus I HIST,CS348
CS163,Astrophysics CHEM
CS163,Seminar on MUS
CS163,English I ECON,ECON432
CS163,Theory of BIO
CS164,Fundamentals of PSY
CS165,Calculus I CS,MATH298
CS165,Research in MATH,CHEM349
CS165,English I PSY,HIST338
CS166,Applications of ART
CS166,Applications of MUS
CS167,Microbiology ART
CS167,Methods in ART
CS168,Lab in CS
CS168,Microbiology ECON
CS169,Advanced CS
CS172,Workshop in STAT,ENG400
CS172,English II MUS,ART376
CS173,Chemistry CHEM,STAT556
CS173,Chemistry MIS
CS17349,Biology MATH,CS136
CS174,Seminar on PSY
CS174,Physics ART,STAT500
CS176,Fundamentals of ECON
CS176,Topics in HIST
CS177,Methods in CS
CS177,Calculus I ECON
CS179,Microbiology CS
CS18063,English I ENG,BIO329
CS183,English I PSY
CS18361,Artificial Intelligence MIS,BIO444
CS184,Topics in MUS,ECON14786
CS184,Methods in PHYS
CS186,Fundamentals of ECON
CS186,Microbiology PSY
CS187,Biology PHYS,PHYS142
CS187,Regression Analysis BIO
CS189,Methods in CS
CS190,Social Development I ECON
CS191,Calculus I PHYS
CS191,Artificial Intelligence ECON
CS19110,Workshop in SOC
CS193,Lab in MUS
CS194,Applications of STAT
CS194,Microbiology ECON
CS196,Physics PSY
CS197,Applications of HIST
CS197,Machine Learning HIST
CS197,Intro to PSY,BIO314
CS201,Regression Analysis MUS
CS201,Cognitive Science STAT,MATH516
CS201,Data Structures BIO
CS202,Workshop in HIST
CS203,Social Development II PSY,PSY509
CS203,Social Development II SOC
CS203,Astrophysics ENG
CS204,English I BIO,CHEM509
CS204,English I CHEM
CS204,Social Development I ECON
CS204,Thermodynamics MIS,HIST178
CS204,Machine Learning MIS
CS207,Workshop in CHEM
CS208,Theory of STAT
CS209,Social Development II PSY
CS209,Machine Learning HIST,HIST537
CS210,Principles of MIS
CS214,English II STAT
CS214,Statistics CS
CS215,Principles of HIST
CS215,Applications of CHEM,HIST246
CS215,Theory of PHYS
CS215,Statistics MATH
CS218,Biology CS
CS218,Fundamentals of MIS
CS219,English II ENG
CS220,Principles of ART
CS221,Calculus I ENG
CS222,Fundamentals of PSY,PSY256
CS222,Calculus II STAT,MIS194
CS223,Calculus II CHEM
CS224,Applications of CS,MATH400
CS225,Physics HIST,BIO50602
CS225,Artificial Intelligence CHEM
CS226,Workshop in PHYS
CS226,Fundamentals of MUS,HIST48258
CS227,Biology CHEM
CS227,Physics STAT
CS227,Biology MIS
CS229,Lab in CS,ENG421
CS231,Thermodynamics PHYS,MUS335
CS231,Calculus I PSY,BIO178
CS231,Applications of CHEM,CS127
CS233,Lab in HIST
CS233,Methods in MUS
CS233,Thermodynamics ART,BIO333
CS235,Data Structures PHYS,ENG432
CS235,Intro to ENG
CS237,English II PSY,CS223
CS239,Principles of PHYS
CS239,Workshop in ECON
CS239,English II MIS,PSY551
CS239,Calculus II BIO
CS241,Physics STAT,CHEM211
CS241,Research in CHEM
CS241,Lab in MIS
CS242,Biology PHYS
CS242,Social Development II ART
CS24260,Chemistry SOC
CS243,Principles of CS
CS244,Calculus II ECON
CS244,Fundamentals of ENG
CS244,Research in HIST
CS245,Chemistry CS
CS245,Cognitive Science BIO
CS246,Lab in MUS
CS248,Lab in PSY
CS249,Cognitive Science ENG,ENG378
CS250,Theory of ECON,ART427
CS250,Social Development II STAT
CS25052,Methods in CHEM
CS251,Cognitive Science ECON
CS254,Advanced CHEM
CS255,English II MUS
CS256,Artificial Intelligence BIO
CS256,Topics in SOC,MUS260
CS25640,Principles of ART
CS25751,Workshop in BIO
CS258,Fundamentals of CHEM,ENG549
CS258,Principles of CS
CS258,Lab in CHEM
CS260,Lab in ECON
CS260,Lab in CHEM,ART171
CS260,Chemistry MUS
CS261,Calculus I CHEM
CS26169,Lab in ART,HIST296
CS262,English I STAT
CS263,Data Structures MATH,BIO367
CS263,Advanced MUS
CS264,Applications of MATH
CS264,Advanced ENG
CS266,Calculus I PSY
CS266,Chemistry PSY,HIST292
CS268,Statistics MUS
CS269,Astrophysics HIST,PSY551
CS269,English II CHEM
CS269,Research in STAT
CS269,Theory of MUS
CS270,Methods in BIO
CS270,Calculus I SOC
CS270,Artificial Intelligence ENG
CS271,Calculus II MUS,PSY110
CS271,Advanced STAT
CS272,Astrophysics PSY
CS273,English II CS
CS274,Social Development II BIO
CS274,Fundamentals of PHYS
CS275,Data Structures MATH,ENG300
CS27525,Topics in HIST
CS27550,Seminar on SOC
CS276,Calculus II CHEM
CS277,Methods in MIS
CS277,Calculus II MATH
CS278,Topics in MIS,ENG323
CS278,Advanced ENG,STAT555
CS278,Fundamentals of HIST,PSY263
CS279,Intro to BIO
CS280,Social Development I PHYS
CS280,Workshop in STAT
CS281,Social Development II PSY
CS281,Topics in HIST,CHEM349
CS283,Thermodynamics MUS,CS398
CS283,Astrophysics SOC
CS28397,Artificial Intelligence BIO
CS284,Physics PHYS,BIO421
CS287,Research in CS,SOC598
CS288,Advanced HIST,HIST596
CS288,Methods in PHYS,STAT497
CS290,Artificial Intelligence ART,BIO232
CS290,Intro to SOC,CHEM205
CS292,Microbiology ART
CS293,Physics SOC
CS294,Biology HIST
CS294,Social Development II BIO,PSY424
CS294,Principles of MUS
CS294,Workshop in MIS
CS294,Applications of PHYS
CS29586,Research in STAT
CS296,Statistics PHYS
CS296,Statistics MATH,CHEM113
CS298,Lab in ART
CS298,Seminar on HIST,PSY462
CS298,Lab in PSY
CS300,English II SOC,STAT412
CS301,Chemistry ECON
CS301,Regression Analysis ART,MIS369
CS301,Biology ECON,ECON254
CS301,Intro to MATH
CS303,Machine Learning PSY
CS306,Statistics STAT
CS306,Seminar on ECON
CS308,Intro to HIST
CS308,Microbiology HIST
CS309,Lab in MUS
CS310,Machine Learning BIO,MUS412
CS311,Social Development I CHEM,MIS84188
CS311,Physics CHEM
CS312,Theory of SOC
CS312,Calculus II MUS,PSY225
CS314,Machine Learning ECON
CS314,Workshop in MUS,SOC396
CS315,English II CS
CS315,Chemistry ART
CS316,Seminar on MATH,PSY392
CS317,Calculus II MATH
CS317,English II STAT,ENG291
CS31785,Seminar on CHEM,CHEM350
CS318,Regression Analysis BIO
CS318,Advanced PSY,MATH262
CS319,Research in CS,BIO579
CS320,Calculus II HIST
CS321,Seminar on STAT
CS321,Applications of MATH
CS322,Intro to CS
CS323,Microbiology MUS
CS324,Social Development I PHYS,ART147
CS324,Lab in MATH,CHEM145
CS325,Intro to STAT
CS325,Theory of PSY,PSY576
CS327,Artificial Intelligence MUS
CS327,Advanced PHYS
CS328,Physics PHYS
CS331,Intro to MUS,MIS15842
CS332,Intro to HIST,CHEM303
CS332,Chemistry ART
CS333,Data Structures ART
CS333,Topics in MATH
CS333,Theory of PHYS,CS174
CS334,Topics in PSY
CS334,English II ECON,MUS518
CS33697,Intro to STAT
CS337,Applications of ECON
CS337,Data Structures MIS
CS337,Social Development II MATH,PHYS317
CS337,Astrophysics ART
CS338,Workshop in ENG,MATH481
CS338,Chemistry MATH
CS338,Physics ECON
CS340,Seminar on ENG
CS340,Research in PHYS,CS569
CS342,Thermodynamics MUS
CS342,Thermodynamics BIO
CS343,Regression Analysis MUS
CS344,Advanced BIO
CS346,Research in PHYS
CS346,Thermodynamics ECON,MIS564
CS346,Applications of PHYS
CS348,Theory of MIS
CS349,Seminar on BIO
CS349,Fundamentals of ECON,ART30407
CS350,Regression Analysis MUS
CS350,Data Structures PHYS,MATH173
CS350,Chemistry SOC,ECON262
CS350,Chemistry MIS
CS351,Intro to MATH
CS351,Methods in STAT,SOC11891
CS352,Astrophysics PSY
CS352,English I HIST,PHYS327
CS355,Fundamentals of CS,ART343
CS355,Advanced HIST,SOC282
CS356,Seminar on ECON,STAT271
CS357,English I BIO,CS346
CS357,Physics ART,MATH528
CS358,Statistics MATH
CS358,Workshop in SOC
CS358,Social Development I HIST,MATH69520
CS359,Artificial Intelligence MIS
CS35914,Chemistry SOC
CS360,Social Development II HIST,CHEM349
CS360,Regression Analysis BIO,ENG370
CS360,English I ENG
CS361,Advanced ECON,ART30407
CS362,Calculus I BIO
CS362,Regression Analysis PHYS,ECON318
CS363,Workshop in PHYS,HIST551
CS365,Social Development I ART,MIS532
CS366,Advanced MIS
CS367,Principles of MIS
CS367,Theory of HIST
CS369,Theory of CS,STAT489
CS369,Machine Learning HIST,ENG418
CS369,Physics ART
CS369,English I SOC
CS370,Regression Analysis ENG
CS371,Research in STAT
CS372,Advanced MIS
CS373,Methods in ENG
CS374,Seminar on PHYS,BIO145
CS375,Social Development I MATH,CS25052
CS375,Cognitive Science BIO,MATH524
CS376,Data Structures SOC
CS376,English I CS,PHYS461
CS376,Fundamentals of SOC
CS377,English II CS
CS37759,Astrophysics MATH,MATH401
CS379,Workshop in STAT
CS379,Principles of MUS
CS380,Regression Analysis CS
CS382,Methods in PSY
CS383,Biology CS
CS38351,Data Structures PHYS
CS38412,Machine Learning ENG
CS386,Seminar on ART
CS387,Calculus I HIST
CS388,Regression Analysis PHYS
CS390,Biology PHYS
CS390,Social Development II ART
CS390,Fundamentals of MUS
CS390,English II CS,CS166
CS391,Intro to ENG,MATH391
CS392,English I MIS,CS172
CS394,Applications of STAT
CS395,English II ECON,ART401
CS395,Social Development I SOC
CS397,Lab in MATH
CS398,Calculus I STAT
CS398,Physics MUS,HIST244
CS398,Principles of SOC
CS398,Workshop in ENG
CS399,Calculus II ENG
CS399,Calculus I PSY,BIO471
CS400,Social Development II HIST
CS400,Cognitive Science MATH,STAT396
CS401,Fundamentals of ENG
CS401,Thermodynamics BIO,CS281
CS401,Physics MATH
CS402,Applications of ECON
CS402,Statistics HIST,ENG51377
CS403,Theory of HIST
CS403,Seminar on PHYS
CS404,Advanced BIO
CS404,Regression Analysis CS,PSY151
CS404,Physics PSY
CS404,Calculus I CS
CS404,Machine Learning ENG
CS404,English II MATH
CS405,English II HIST
CS405,Artificial Intelligence HIST
CS40649,Topics in PHYS,HIST215
CS407,Methods in CS,MATH274
CS407,Research in SOC
CS408,Calculus I CHEM
CS409,Data Structures CHEM
CS411,Astrophysics PHYS,CHEM282
CS411,Social Development I PSY
CS412,Principles of ENG
CS41307,Data Structures HIST,SOC505
CS414,English I HIST,MUS507
CS415,Theory of MIS
CS416,Physics ECON
CS417,Social Development I CS
CS417,Chemistry BIO
CS417,Social Development I ENG
CS417,Seminar on STAT,SOC463
CS418,Regression Analysis CHEM
CS419,Chemistry ART,STAT397
CS419,Topics in CHEM
CS421,Methods in STAT
CS421,Advanced BIO
CS421,Intro to STAT
CS423,Chemistry MUS
CS423,Astrophysics BIO
CS423,Calculus II CHEM
CS423,Physics ENG,MATH408
CS425,Physics STAT
CS425,Advanced HIST
CS425,Microbiology MUS
CS426,Workshop in ART
CS426,Fundamentals of HIST
CS426,Cognitive Science HIST
CS427,Thermodynamics MATH,PHYS399
CS427,Principles of HIST,PHYS421
CS428,Machine Learning HIST
CS429,Cognitive Science ART,HIST29161
CS429,Calculus I ART
CS431,English II PHYS
CS433,Principles of MATH
CS43309,Social Development I MIS
CS434,Fundamentals of MATH
CS435,Microbiology STAT
CS436,Workshop in MATH
CS436,Microbiology ECON
CS440,Workshop in HIST,HIST160
CS441,Social Development II ENG
CS442,Astrophysics ART
CS443,Chemistry ENG
CS443,Regression Analysis MIS
CS443,Microbiology PHYS
CS443,Lab in MUS
CS443,Lab in HIST
CS444,Seminar on MUS
CS444,Calculus II MUS
CS445,Statistics SOC,HIST290
CS446,Regression Analysis CS
CS447,Artificial Intelligence ECON
CS447,Seminar on CHEM,STAT107
CS449,Topics in BIO
CS449,Biology ART
CS449,Research in SOC
CS450,Topics in MUS,MATH207
CS451,Principles of PHYS
CS451,Seminar on BIO
CS454,Regression Analysis PSY
CS457,Intro to SOC
CS457,Intro to SOC
CS457,Theory of HIST
CS457,Thermodynamics SOC,ECON411
CS457,Methods in MUS
CS458,Seminar on HIST,MATH262
CS464,Research in ENG
CS465,Theory of HIST
CS465,Applications of STAT
CS466,Social Development I ART
CS466,Research in ART
CS467,Microbiology ECON,ENG557
CS469,English II HIST
CS470,English I BIO
CS470,Calculus I CHEM
CS471,Statistics HIST
CS474,Social Development II ENG
CS475,Thermodynamics CS
CS476,Research in HIST,CHEM321
CS47797,Chemistry BIO
CS480,English II MATH
CS480,Principles of ECON
CS480,Regression Analysis MIS
CS480,Regression Analysis BIO
CS480,Fundamentals of ECON
CS481,Physics MIS
CS481,Principles of ECON
CS481,Microbiology MATH
CS482,Microbiology SOC
CS482,Principles of CHEM
CS482,Principles of PHYS,ENG29184
CS483,Applications of ECON
CS485,Physics HIST
CS486,Microbiology ART
CS488,Astrophysics HIST
CS488,Physics HIST
CS48996,Advanced MATH
CS49020,Astrophysics PHYS
CS491,Calculus II ENG
CS491,Intro to PHYS
CS493,Machine Learning MUS
CS493,Regression Analysis ART
CS494,Fundamentals of MATH
CS494,Regression Analysis PSY,CS371
CS494,Methods in MATH
CS496,Applications of PHYS,ECON179
CS497,Advanced BIO
CS498,Machine Learning CHEM,CHEM137
CS498,Cognitive Science CHEM
CS498,Statistics CHEM
CS500,Calculus II SOC
CS500,Applications of HIST
CS50082,Applications of ART
CS501,Data Structures ENG
CS502,Methods in MUS
CS502,Machine Learning PHYS,ART362
CS503,Seminar on PHYS,STAT489
CS504,Statistics MATH
CS504,Cognitive Science MUS,SOC337
CS505,Thermodynamics HIST,SOC152
CS505,Advanced CHEM
CS506,English I SOC
CS506,Calculus II STAT
CS507,Chemistry PHYS
CS507,Principles of ENG
CS509,Research in CS
CS511,Topics in BIO
CS511,Calculus II HIST
CS513,Calculus II HIST
CS513,Data Structures STAT,MIS442
CS514,Physics CS,MUS111
CS514,Thermodynamics SOC
CS516,Principles of PSY
CS516,Intro to SOC
CS516,Artificial Intelligence PSY
CS51664,Lab in ENG
CS518,Statistics STAT
CS518,Calculus II MIS
CS518,Cognitive Science MUS
CS51855,Statistics SOC
CS51867,Physics CHEM
CS520,Chemistry CS,ECON166
CS520,Principles of STAT,HIST496
CS520,Calculus II ENG,PSY110
CS520,Workshop in CS
CS521,Biology ART
CS522,Topics in PHYS
CS522,Physics PSY
CS522,Astrophysics CHEM
CS523,Cognitive Science PHYS
CS523,Machine Learning MATH,SOC337
CS523,Statistics HIST
CS523,Microbiology ART,MIS260
CS524,Seminar on PSY
CS525,English I CHEM
CS526,Calculus I ART
CS526,Lab in SOC
CS528,Applications of MIS
CS528,Social Development II MATH
CS528,Applications of ART
CS529,Applications of MIS
CS529,Data Structures MUS
CS52966,Artificial Intelligence STAT
CS530,Research in CHEM,STAT439
CS531,Data Structures MATH
CS531,Data Structures BIO,HIST452
CS532,Intro to MUS
CS534,Social Development I HIST
CS534,Seminar on STAT,PHYS30823
CS535,Lab in PSY
CS535,Astrophysics ECON
CS535,Research in HIST,MUS536
CS536,Seminar on BIO
CS536,Applications of PHYS
CS536,Astrophysics ENG
CS536,Intro to MIS,SOC25163
CS536,Astrophysics PHYS
CS537,Cognitive Science PSY
CS539,Intro to BIO,CS132
CS539,Biology CHEM
CS539,English I ENG
CS540,Data Structures BIO
CS540,Theory of STAT
CS541,Seminar on PSY
CS541,Astrophysics SOC,CS545
CS541,Calculus II ECON
CS54242,Data Structures HIST
CS543,Thermodynamics ECON
CS543,Data Structures ECON,MIS362
CS544,Calculus I SOC
CS545,Microbiology CHEM,STAT289
CS547,Statistics PSY,MIS522
CS548,Theory of MATH
CS548,Data Structures MATH
CS549,English I MATH
CS550,Chemistry MATH
CS551,Applications of CS,MIS40075
CS551,Lab in ART
CS551,Principles of SOC
CS552,Topics in CS
CS553,Topics in PHYS
CS553,Data Structures STAT,PHYS307
CS554,Regression Analysis ENG
CS554,Microbiology PSY
CS554,Thermodynamics CS,BIO338
CS554,Machine Learning PSY
CS555,English I MATH,MIS429
CS555,English I PSY
CS556,Chemistry CHEM
CS556,Data Structures PSY
CS556,Chemistry MUS
CS557,Regression Analysis CHEM
CS558,Astrophysics CHEM
CS558,Theory of MIS
CS559,Calculus I ART
CS560,Social Development II PHYS,CS555
CS560,Calculus II HIST,HIST181
CS560,Advanced MATH
CS561,Physics ENG,MATH375
CS561,Physics BIO,CS449
CS56132,Calculus I CS
CS562,Calculus I PSY
CS562,Biology ECON,MIS187
CS562,Principles of PSY
CS563,Cognitive Science PHYS
CS563,Data Structures BIO
CS564,Microbiology PHYS,CHEM133
CS564,English I STAT,PSY443
CS56444,Statistics SOC
CS567,Topics in MUS
CS567,Topics in BIO
CS568,Chemistry ART
CS569,Lab in MUS,SOC306
CS570,Cognitive Science HIST,STAT113
CS570,Principles of CHEM
CS571,Research in CS
CS574,Methods in ENG
CS575,Advanced STAT
CS576,Calculus II STAT
CS579,Biology MUS
CS579,Social Development I PHYS
CS579,Microbiology ENG
CS580,Microbiology MUS
CS582,Biology BIO
CS583,Social Development I ECON,CHEM439
CS583,Data Structures ECON
CS585,Methods in CHEM,BIO252
CS58549,Intro to ENG
CS586,Physics ECON
CS587,Workshop in ART,BIO264
CS587,Cognitive Science PSY
CS58856,Statistics ECON
CS589,Physics ECON
CS591,Lab in CS
CS591,Artificial Intelligence ART
CS592,Intro to HIST
CS59362,Chemistry MUS
CS595,Theory of HIST,SOC505
CS595,Research in CHEM
CS597,Social Development I BIO
CS60556,Principles of ART
CS61543,Data Structures ART
CS61565,Cognitive Science CS
CS61690,Principles of ECON
CS64941,Topics in ECON
CS66958,Statistics ART
CS67635,Microbiology ENG,MIS377
CS70596,Fundamentals of BIO
CS71078,Machine Learning MUS,MIS498
CS73245,Research in PHYS
CS74127,Calculus II BIO
CS74212,Chemistry PHYS
CS74481,Thermodynamics MUS,SOC186
CS77948,Research in MATH,ENG74122
CS78833,Intro to BIO
CS79860,Biology MIS,SOC158
CS80343,Microbiology BIO,STAT422
CS83548,Cognitive Science CS
CS84964,Theory of CHEM,MUS460
CS85255,Principles of MUS
CS85796,Lab in ECON,ART11294
CS85879,Calculus I ECON
CS86953,Advanced PHYS
CS89171,Methods in ECON,CS506
CS89696,Lab in PSY
CS89858,Physics ENG,ENG136
CS90283,Astrophysics ART
CS90728,Topics in HIST
CS91756,Biology MUS
CS94146,Research in CHEM
CS96703,Physics SOC,ENG203
CS97023,Chemistry ECON
CS97719,English I PSY,BIO320
CS97778,Methods in CHEM
ECON100,Workshop in ART
ECON100,Data Structures STAT,ENG539
ECON100,Physics BIO
ECON101,Data Structures PHYS,PHYS559
ECON101,Biology MIS
ECON10550,Biology MATH
ECON106,Seminar on SOC
ECON106,Principles of ENG
ECON107,Thermodynamics ART,BIO152
ECON108,Principles of STAT
ECON109,Chemistry BIO
